t_s,x_tgt_m,x_meas_m,err_mm,v_ff_m_s,a_ff,v_cmd_m_s,a_cmd
4.4201,0.050509,0.050497,0.012,0.00483,0.00538,0.00509,-0.00193
4.4402,0.050606,0.050592,0.015,0.00480,-0.00735,0.00536,0.01353
4.4601,0.050699,0.050693,0.006,0.00454,-0.01949,0.00464,-0.03601
4.4801,0.050786,0.050797,-0.012,0.00403,-0.03102,0.00338,-0.06301
4.5001,0.050859,0.050885,-0.026,0.00330,-0.04148,0.00219,-0.05990
4.5201,0.050916,0.050948,-0.032,0.00238,-0.05058,0.00117,-0.05102
4.5401,0.050953,0.050988,-0.035,0.00129,-0.05809,-0.00001,-0.05895
4.5601,0.050967,0.051005,-0.037,0.00007,-0.06381,-0.00131,-0.06473
4.5801,0.050956,0.051002,-0.046,-0.00125,-0.06764,-0.00301,-0.08523
4.6001,0.050917,0.050987,-0.070,-0.00262,-0.06952,-0.00544,-0.12151
4.6201,0.050851,0.050936,-0.086,-0.00402,-0.06950,-0.00731,-0.09345
4.6401,0.050756,0.050826,-0.070,-0.00539,-0.06765,-0.00770,-0.01946
4.6601,0.050635,0.050681,-0.046,-0.00671,-0.06415,-0.00804,-0.01679
4.6801,0.050488,0.050528,-0.040,-0.00795,-0.05922,-0.00933,-0.06455
4.7001,0.050318,0.050369,-0.051,-0.00907,-0.05314,-0.01107,-0.08696
4.7201,0.050126,0.050174,-0.048,-0.01007,-0.04622,-0.01173,-0.03339
4.7401,0.049916,0.049957,-0.041,-0.01092,-0.03880,-0.01229,-0.02783
4.7601,0.049691,0.049724,-0.033,-0.01162,-0.03128,-0.01270,-0.02056
4.7801,0.049452,0.049474,-0.022,-0.01217,-0.02396,-0.01280,-0.00494
4.8001,0.049205,0.049219,-0.014,-0.01258,-0.01724,-0.01300,-0.00970
4.8201,0.048950,0.048964,-0.014,-0.01287,-0.01143,-0.01338,-0.01902
4.8401,0.048691,0.048705,-0.015,-0.01305,-0.00680,-0.01358,-0.01018
4.8601,0.048429,0.048433,-0.005,-0.01315,-0.00360,-0.01320,0.01911
4.8801,0.048165,0.048161,0.004,-0.01320,-0.00200,-0.01294,0.01290
4.9001,0.047901,0.047904,-0.003,-0.01324,-0.00209,-0.01345,-0.02540
4.9201,0.047636,0.047640,-0.004,-0.01330,-0.00389,-0.01344,0.00012
4.9402,0.047367,0.047372,-0.006,-0.01341,-0.00737,-0.01363,-0.00943
4.9601,0.047099,0.047099,0.000,-0.01360,-0.01232,-0.01352,0.00549
4.9801,0.046823,0.046830,-0.006,-0.01391,-0.01860,-0.01420,-0.03404
5.0001,0.046541,0.046556,-0.015,-0.01435,-0.02590,-0.01500,-0.03996
5.0201,0.046248,0.046266,-0.017,-0.01495,-0.03388,-0.01561,-0.03016
5.0401,0.045942,0.045962,-0.020,-0.01571,-0.04213,-0.01648,-0.04360
5.0601,0.045619,0.045648,-0.029,-0.01663,-0.05022,-0.01780,-0.06602
5.0801,0.045276,0.045312,-0.037,-0.01771,-0.05769,-0.01913,-0.06664
5.1001,0.044909,0.044949,-0.040,-0.01893,-0.06409,-0.02041,-0.06387
5.1201,0.044518,0.044561,-0.043,-0.02027,-0.06896,-0.02187,-0.07301
5.1401,0.044098,0.044144,-0.046,-0.02168,-0.07189,-0.02335,-0.07385
5.1601,0.043650,0.043703,-0.053,-0.02313,-0.07251,-0.02514,-0.08945
5.1801,0.043173,0.043228,-0.055,-0.02456,-0.07051,-0.02655,-0.07059
5.2001,0.042668,0.042718,-0.050,-0.02593,-0.06566,-0.02766,-0.05570
5.2201,0.042137,0.042180,-0.043,-0.02717,-0.05784,-0.02861,-0.04734
5.2402,0.041581,0.041620,-0.039,-0.02823,-0.04695,-0.02960,-0.04960
5.2601,0.041010,0.041042,-0.033,-0.02903,-0.03321,-0.03011,-0.02546
5.2801,0.040424,0.040444,-0.020,-0.02953,-0.01668,-0.03011,-0.00020
5.3002,0.039827,0.039841,-0.013,-0.02968,0.00243,-0.03005,0.00298
5.3201,0.039239,0.039237,0.003,-0.02943,0.02337,-0.02913,0.04609
5.3401,0.038657,0.038640,0.017,-0.02873,0.04597,-0.02793,0.06028
5.3601,0.038093,0.038059,0.034,-0.02758,0.06952,-0.02616,0.08850
5.3801,0.037557,0.037504,0.052,-0.02595,0.09338,-0.02382,0.11675
5.4001,0.037058,0.036991,0.067,-0.02385,0.11682,-0.02126,0.12825
5.4201,0.036606,0.036525,0.081,-0.02129,0.13910,-0.01818,0.15406
5.4401,0.036209,0.036106,0.103,-0.01830,0.15944,-0.01428,0.19454
5.4601,0.035877,0.035760,0.117,-0.01493,0.17710,-0.01053,0.18796
5.4801,0.035614,0.035485,0.130,-0.01123,0.19141,-0.00640,0.20636
5.5002,0.035428,0.035291,0.138,-0.00729,0.20170,-0.00222,0.20870
5.5202,0.035323,0.035176,0.147,-0.00317,0.20739,0.00226,0.22425
5.5401,0.035301,0.035150,0.151,0.00096,0.20803,0.00644,0.20920
5.5601,0.035362,0.035188,0.174,0.00509,0.20333,0.01167,0.26116
5.5801,0.035504,0.035318,0.185,0.00906,0.19311,0.01588,0.21075
5.6001,0.035723,0.035561,0.162,0.01277,0.17734,0.01830,0.12072
5.6202,0.036014,0.035883,0.131,0.01613,0.15603,0.02043,0.10681
5.6401,0.036364,0.036256,0.108,0.01899,0.12985,0.02259,0.10796
5.6601,0.036768,0.036674,0.094,0.02128,0.09892,0.02447,0.09375
5.6801,0.037211,0.037135,0.076,0.02292,0.06400,0.02541,0.04727
5.7001,0.037680,0.037630,0.050,0.02382,0.02587,0.02528,-0.00659
5.7201,0.038158,0.038138,0.020,0.02394,-0.01452,0.02426,-0.05092
5.7401,0.038632,0.038639,-0.008,0.02323,-0.05630,0.02260,-0.08312
5.7601,0.039082,0.039123,-0.041,0.02168,-0.09820,0.01977,-0.14137
5.7801,0.039493,0.039568,-0.075,0.01931,-0.13908,0.01619,-0.17897
5.8001,0.039849,0.039952,-0.103,0.01613,-0.17792,0.01205,-0.20723
5.8201,0.040134,0.040262,-0.128,0.01221,-0.21338,0.00729,-0.23797
5.8401,0.040333,0.040489,-0.155,0.00763,-0.24437,0.00168,-0.28032
5.8601,0.040435,0.040616,-0.181,0.00247,-0.26994,-0.00436,-0.30240
5.8801,0.040429,0.040635,-0.205,-0.00313,-0.28907,-0.01084,-0.32397
5.9001,0.040308,0.040557,-0.249,-0.00904,-0.30095,-0.01857,-0.38651
5.9201,0.040067,0.040337,-0.270,-0.01511,-0.30500,-0.02513,-0.32774
5.9401,0.039704,0.039958,-0.254,-0.02119,-0.30079,-0.03012,-0.24943
5.9601,0.039220,0.039444,-0.224,-0.02709,-0.28808,-0.03475,-0.23144
5.9801,0.038622,0.038828,-0.205,-0.03265,-0.26690,-0.03981,-0.25295
6.0001,0.037918,0.038119,-0.201,-0.03771,-0.25387,-0.04491,-0.25544
6.0201,0.037116,0.037308,-0.192,-0.04245,-0.21945,-0.04922,-0.21522
6.0401,0.036225,0.036395,-0.170,-0.04644,-0.17837,-0.05229,-0.15345
6.0601,0.035263,0.035396,-0.134,-0.04955,-0.13147,-0.05388,-0.07959
6.0801,0.034249,0.034340,-0.091,-0.05167,-0.07965,-0.05441,-0.02643
6.1001,0.033204,0.033257,-0.053,-0.05271,-0.02400,-0.05412,0.01457
6.1201,0.032149,0.032168,-0.019,-0.05261,0.03438,-0.05284,0.06366
6.1401,0.031109,0.031087,0.022,-0.05133,0.09415,-0.05002,0.14114
6.1601,0.030105,0.030035,0.070,-0.04884,0.15412,-0.04572,0.21507
6.1801,0.029162,0.029047,0.115,-0.04517,0.21288,-0.04043,0.26459
6.2001,0.028306,0.028147,0.159,-0.04035,0.26889,-0.03404,0.31938
6.2201,0.027556,0.027353,0.202,-0.03444,0.32106,-0.02659,0.37254
6.2401,0.026935,0.026690,0.244,-0.02755,0.36788,-0.01820,0.41948
6.2601,0.026459,0.026172,0.287,-0.01976,0.40833,-0.00886,0.46692
6.2801,0.026148,0.025828,0.321,-0.01125,0.44114,0.00073,0.47962
6.3001,0.026013,0.025665,0.348,-0.00217,0.46543,0.01073,0.49970
6.3201,0.026064,0.025678,0.386,0.00731,0.48046,0.02172,0.54949
6.3401,0.026307,0.025887,0.420,0.01699,0.48561,0.03253,0.54077
6.3601,0.026744,0.026321,0.423,0.02666,0.48052,0.04191,0.46896
6.3801,0.027373,0.026978,0.395,0.03615,0.46500,0.05000,0.40450
6.4001,0.028186,0.027829,0.358,0.04520,0.43921,0.05759,0.37966
6.4201,0.029176,0.028845,0.331,0.05364,0.40337,0.06518,0.37948
