scan,mode,moving_controls,accepted_controls,strict_moving_coverage,counterfactual_segment_restarts,tank_min_j,tank_end_j,weak_side_mean_m_s,omega_error_p95_rad_s,pair_residual_p95_m_s,alpha_mean,cost_mean_s,cost_p95_s,deferrals,publication_rejections,old_candidate_final_omega_p95_rad_s
jiaqi/LH_Per_C_DtP,recorded_old,4154,4153,,0,0.1,0.15,-9.046152835790415e-06,,,0.9404601171713663,0.0024660431268862977,0.0032639271463267504,0,1,0.01021870591128928
jiaqi/LH_Per_C_DtP,confidence_angular_v1,4154,4154,1.0,0,0.1,0.15,-0.00034709401344698625,2.372371529863264e-11,2.223957563246559e-13,0.9866801920753994,0.0023435851707560742,0.002428636898912373,0,,
jiaqi/LH_Per_C_DtP,confidence_cop_v1,4154,4154,1.0,0,0.1,0.15,-0.0003595111474520905,2.372371529863264e-11,2.2634417885256973e-13,0.9866801920754,0.002343142436517408,0.002429650200792821,0,,
jiaqi/LH_Per_C_PtD,recorded_old,4712,4710,,0,0.0906422560920098,0.0906422560920098,0.0011785650172506,,,0.8455940792149922,0.002588146097096721,0.0034151080973970236,0,1,0.044552842250477794
jiaqi/LH_Per_C_PtD,confidence_angular_v1,4712,4712,1.0,0,0.1,0.10455414743600089,0.0010555675390239304,4.4477623103653106e-11,1.9446240407880428e-13,0.9315527405368166,0.002448842185028447,0.002583352548026596,0,,
jiaqi/LH_Per_C_PtD,confidence_cop_v1,4712,4712,1.0,0,0.1,0.10454781987422776,0.0010570104540776947,4.4477623103653106e-11,1.912291007479115e-13,0.9315527405368166,0.0024484004886177048,0.0025819319536822148,0,,
jiaqi/LH_Per_L_DtP,recorded_old,4159,4159,,0,0.1,0.15,-0.00021577188036448521,,,0.9596360873605944,0.002334559007256086,0.003032632799295243,0,0,0.006971617814186628
jiaqi/LH_Per_L_DtP,confidence_angular_v1,4159,4159,1.0,0,0.1,0.15,-0.0006231669304387585,3.3534572992074604e-11,2.6623761788940877e-13,0.9999874976138703,0.0024688466823596074,0.002642318303696811,0,,
jiaqi/LH_Per_L_DtP,confidence_cop_v1,4159,4159,1.0,0,0.1,0.15,-0.000623010855067353,3.3534572992074604e-11,2.662414624150898e-13,0.9999874976138703,0.0024683829620175293,0.0026434295949002264,0,,
jiaqi/LH_Per_L_PtD,recorded_old,4147,4146,,0,0.09852920541236068,0.09852920541236068,,,,0.959112665892284,0.002315593087061197,0.003004532899649348,0,1,0.00013877330639747848
jiaqi/LH_Per_L_PtD,confidence_angular_v1,4147,4147,1.0,0,0.1,0.10445132242800023,,1.9017994240593644e-11,2.279128491836089e-13,0.9999963750253307,0.0024331765966433207,0.0025418504999834115,0,,
jiaqi/LH_Per_L_PtD,confidence_cop_v1,4147,4147,1.0,0,0.1,0.10445133268902634,,1.9017994240593644e-11,2.2791310261169304e-13,0.9999963750253307,0.0024332581191217418,0.0025425540989090223,0,,
jiaqi/LH_Per_S_DtP,recorded_old,4334,4333,,0,0.1,0.14999980891868278,0.0004080237920318753,,,0.9529641197755863,0.002470556361051974,0.0033231016474019235,0,1,0.017952551958297282
jiaqi/LH_Per_S_DtP,confidence_angular_v1,4334,4334,1.0,0,0.1,0.14998154517392112,4.018020649280805e-05,2.7373237845620645e-11,2.31491702976788e-13,0.9963886615771518,0.002415836807592138,0.0025083307045861147,0,,
